imgUrl,link,l1,l2,grass_region,MTD ADO,MTD ADG,MoM ADO,MoM ADG
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,http://shopee.com.br/product/1584386093/42025249017,Art Supplies,Canvases & Easels,BR,11.67,153.29,0.37,0.46
https://cf.shopee.com.br/file/cn-11134207-820l4-mhk7xglvruv88f,http://shopee.com.br/product/1573558639/44375673626,Art Supplies,Canvases & Easels,BR,5.15,77.03,,
https://cf.shopee.com.br/file/sg-11134201-8261i-mlrjptfjogedec,http://shopee.com.br/product/1582998885/48250003150,Art Supplies,Canvases & Easels,BR,2.80,36.20,-0.63,-0.62
https://cf.shopee.com.br/file/cn-11134207-820l4-me6ozi5q6f46b0,http://shopee.com.br/product/1502507139/24496800480,Art Supplies,Canvases & Easels,BR,2.04,11.55,0.71,0.73
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,http://shopee.com.br/product/1582998908/49555069892,Art Supplies,Canvases & Easels,BR,1.60,18.77,2.73,2.58
https://cf.shopee.com.br/file/cn-11134207-820l4-mg3ili7ds362e6,http://shopee.com.br/product/1480010720/41975326526,Art Supplies,Canvases & Easels,BR,1.15,14.46,3.95,3.36
https://cf.shopee.com.br/file/cn-11134207-820l4-mlbvhf8mnpqc1d,http://shopee.com.br/product/1573558630/41026648360,Art Supplies,Canvases & Easels,BR,1.15,15.02,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgqo0086e,http://shopee.com.br/product/1420680561/44750185037,Art Supplies,Canvases & Easels,BR,1.15,20.92,0.26,0.87
https://cf.shopee.com.br/file/cn-11134207-820l4-mg3biip4ta1bac,http://shopee.com.br/product/1582998908/28093236439,Art Supplies,Canvases & Easels,BR,1.00,11.45,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mhbuefjgfwuia5,http://shopee.com.br/product/1302998599/56401888524,Art Supplies,Canvases & Easels,BR,0.88,10.47,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mjs70sxtci6f0c,http://shopee.com.br/product/1480010733/40125493735,Art Supplies,Canvases & Easels,BR,0.55,7.55,-0.56,-0.62
https://cf.shopee.com.br/file/sg-11134201-7rdxo-lz75dkm865i2b9,http://shopee.com.br/product/217840525/24935350362,Art Supplies,Canvases & Easels,BR,0.50,6.42,0.08,1.02
https://cf.shopee.com.br/file/cn-11134207-820l4-megtoxm5aux108,http://shopee.com.br/product/1125085057/43618030258,Art Supplies,Canvases & Easels,BR,0.45,2.87,-0.55,-0.49
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm3nk98f,http://shopee.com.br/product/1420698522/42875501288,Art Supplies,Canvases & Easels,BR,0.45,5.90,1.52,1.80
https://cf.shopee.com.br/file/cn-11134207-7r98o-lsuxt5uduz8d59,http://shopee.com.br/product/184008874/24569010571,Art Supplies,Canvases & Easels,BR,0.35,3.57,0.63,-0.09
https://cf.shopee.com.br/file/sg-11134201-8259f-mg20ovpnaney64,http://shopee.com.br/product/1420680577/40975152175,Art Supplies,Canvases & Easels,BR,0.35,4.12,0.40,0.17
https://cf.shopee.com.br/file/c4a1de15a6d4814a02123f981e918ffb,http://shopee.com.br/product/342017780/11405720740,Art Supplies,Canvases & Easels,BR,0.35,10.70,-0.46,0.18
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm3nk98f,http://shopee.com.br/product/1304138447/43775484291,Art Supplies,Canvases & Easels,BR,0.35,4.24,-0.11,-0.13
https://cf.shopee.com.br/file/cn-11134207-820l4-mijygvvnxceg45,http://shopee.com.br/product/1692923763/45353461559,Art Supplies,Canvases & Easels,BR,0.30,2.28,7.40,6.45
https://cf.shopee.com.br/file/cn-11134207-7ras8-m8eiz4yzim4y99,http://shopee.com.br/product/1302998599/26632872771,Art Supplies,Canvases & Easels,BR,0.30,2.04,0.60,0.40
