imgUrl,l1,l2,grass_region,MTD ADO,MTD ADG,MoM ADO,MoM ADG
https://cf.shopee.com.br/file/cn-11134207-820l4-mhk7xglvruv88f,美术用品,画布和画架,巴西,10.08,112.47,0.5,0.47
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,美术用品,画布和画架,巴西,5.43,68.31,-0.19,-0.18
https://cf.shopee.com.br/file/cn-11134207-820l4-mnxscdv19erpe9,美术用品,画布和画架,巴西,4.72,58.54,-0.36,-0.31
https://cf.shopee.com.br/file/cn-11134207-820l4-mn56ldl9nmrl81,美术用品,画布和画架,巴西,1.94,33.08,0,0.2
https://cf.shopee.com.br/file/sg-11134201-8261f-mmfxy00nqqkk7d,美术用品,画布和画架,巴西,1.88,24.03,-0.17,-0.07
https://cf.shopee.com.br/file/cn-11134207-820l4-me6ozi5q6f46b0,美术用品,画布和画架,巴西,1.63,8.63,0.48,0.48
https://cf.shopee.com.br/file/cn-11134207-820l4-mnzhii29pw5i46,美术用品,画布和画架,巴西,0.9,9.71,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgqo0086e,美术用品,画布和画架,巴西,0.83,9.85,-0.17,-0.17
https://cf.shopee.com.br/file/cn-11134207-820l4-mhbuefjgfwuia5,美术用品,画布和画架,巴西,0.79,8.88,0.44,0.33
https://cf.shopee.com.br/file/cn-11134207-820l4-megtoxm5aux108,美术用品,画布和画架,巴西,0.73,3.82,0.12,0.02
https://cf.shopee.com.br/file/c4a1de15a6d4814a02123f981e918ffb,美术用品,画布和画架,巴西,0.67,10.26,0.2,0.2
https://cf.shopee.com.br/file/cn-11134207-820l4-mmu3c1b1vbbc41,美术用品,画布和画架,巴西,0.56,7.5,0.19,0.48
https://cf.shopee.com.br/file/cn-11134207-820l4-mn56ldl9nmrl81,美术用品,画布和画架,巴西,0.54,7.61,,
https://cf.shopee.com.br/file/cn-11134207-7r98o-lsuxt5uduz8d59,美术用品,画布和画架,巴西,0.5,4.39,-0.24,-0.32
https://cf.shopee.com.br/file/cn-11134207-820l4-mhaa5r5mbbbj93,美术用品,画布和画架,巴西,0.5,6.17,0.76,0.7
https://cf.shopee.com.br/file/sg-11134201-7rdxo-lz75dkm865i2b9,美术用品,画布和画架,巴西,0.46,2.88,1.29,0.23
https://cf.shopee.com.br/file/cn-11134207-820l4-mnntbmko9tz660,美术用品,画布和画架,巴西,0.42,4.54,4.77,5.44
https://cf.shopee.com.br/file/cn-11134207-820l4-mn156njzxjig56,美术用品,画布和画架,巴西,0.38,4.11,-0.51,-0.51
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm3nk98f,美术用品,画布和画架,巴西,0.38,3.98,2.75,1.02
https://cf.shopee.com.br/file/cn-11134207-820l4-mlbvhf8mnpqc1d,美术用品,画布和画架,巴西,0.29,4.36,-0.27,0.09
https://cf.shopee.com.br/file/cn-11134207-820l4-micq80ptaxa98e,美术用品,画布和画架,巴西,0.25,2.69,2.75,2.55
https://cf.shopee.com.br/file/sg-11134201-7rdwg-lym6zks7t12v4f,美术用品,画布和画架,巴西,0.25,2.53,-0.06,-0.15
https://cf.shopee.com.br/file/sg-11134201-7rd5i-lx3ni9zjdgi2fa,美术用品,画布和画架,巴西,0.23,4.62,0.75,0.54
https://cf.shopee.com.br/file/sg-11134201-824jc-mdwyihm0abczaa,美术用品,画布和画架,巴西,0.21,3.69,1.08,2.22
https://cf.shopee.com.br/file/cn-11134207-820l4-mijygvvnxceg45,美术用品,画布和画架,巴西,0.21,1.55,-0.65,-0.64
https://cf.shopee.com.br/file/cn-11134207-820l4-mn5foydegjd135,美术用品,画布和画架,巴西,0.21,2.76,-0.11,-0.26
https://cf.shopee.com.br/file/cn-11134207-820l4-me71r51v9lhiad,美术用品,画布和画架,巴西,0.21,0.99,5.25,3.89
https://cf.shopee.com.br/file/sg-11134201-822yq-mi14x4zk3if678,美术用品,画布和画架,巴西,0.17,0.74,4,0.01
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgpdn9r8a,美术用品,画布和画架,巴西,0.17,2.51,-0.09,0
https://cf.shopee.com.br/file/cn-11134207-820l4-mg1p8lgm524pf9,美术用品,画布和画架,巴西,0.17,2.51,0.67,1.18
https://cf.shopee.com.br/file/cn-11134207-7ras8-m8eiz4yzim4y99,美术用品,画布和画架,巴西,0.15,1.62,3.38,8.72
https://cf.shopee.com.br/file/sg-11134201-8258y-mgcvm7t3c4co19,美术用品,画布和画架,巴西,0.13,2.21,0.25,1.06
https://cf.shopee.com.br/file/d75ff972fd994d8e4e3c8c23f42ad0fe,美术用品,画布和画架,巴西,0.13,0.42,0.79,0.19
https://cf.shopee.com.br/file/7f01d7e6fe1c29b538c7a8e00e4962dc,美术用品,画布和画架,巴西,0.1,1.65,-0.22,-0.07
https://cf.shopee.com.br/file/sg-11134201-824hz-me6lzi4yearr8b,美术用品,画布和画架,巴西,0.08,2.4,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mhaboljk8c9642,美术用品,画布和画架,巴西,0.08,0.87,,
https://cf.shopee.com.br/file/cn-11134207-7qukw-ljoyvgii90503c,美术用品,画布和画架,巴西,0.06,0.81,-0.33,-0.43
https://cf.shopee.com.br/file/cn-11134207-820l4-mny2ynu68iysd6,美术用品,画布和画架,巴西,0.05,0.47,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mmhaoffl7ev8e6,美术用品,画布和画架,巴西,0.04,0.46,,
https://cf.shopee.com.br/file/sg-11134201-7rdvv-mbw4xoh4npla1a,美术用品,画布和画架,巴西,0.04,0.11,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mha9wrnqbll987,美术用品,画布和画架,巴西,0.04,0.45,-0.38,-0.33
https://cf.shopee.com.br/file/sg-11134201-81zv0-mmx5gs8oqryc97,美术用品,画布和画架,巴西,0.04,0.91,,
